epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,2935.83,0.80934,0.46023,1.01823,0.99291,0.89286,0.91474,0.63642,1.01374,0.49075,1.17736,0.000612809,0.000612809,0.000612809
96,2965.08,0.76462,0.442,1.00538,0.99745,0.8946,0.90891,0.62762,0.99285,0.51403,1.17752,0.000604203,0.000604203,0.000604203
97,2994.01,0.7712,0.45442,1.01846,0.94872,0.9881,0.98737,0.68126,1.00739,0.41815,1.17543,0.000595586,0.000595586,0.000595586
98,3023.14,0.77998,0.44956,1.01871,0.957,0.9881,0.99004,0.68533,1.00387,0.39741,1.15098,0.000586961,0.000586961,0.000586961
99,3053.31,0.7486,0.43627,0.99855,0.97705,0.92463,0.98912,0.71461,0.9952,0.42819,1.12389,0.000578329,0.000578329,0.000578329
100,3083.26,0.79463,0.45186,1.00819,0.99495,0.89555,0.92982,0.64888,1.02998,0.50781,1.1448,0.000569693,0.000569693,0.000569693
101,3112.7,0.7633,0.44288,0.99366,0.99571,0.89286,0.90853,0.64764,1.02245,0.52744,1.15618,0.000561055,0.000561055,0.000561055
102,3142.27,0.77775,0.44581,1.00995,0.99077,0.89907,0.91167,0.62896,1.01772,0.4902,1.16642,0.000552417,0.000552417,0.000552417
103,3171.47,0.75996,0.434,0.98907,0.98145,0.95879,0.98257,0.69238,0.98583,0.42308,1.13148,0.000543781,0.000543781,0.000543781
104,3200.45,0.75955,0.43442,0.99499,0.99265,0.96388,0.98257,0.69703,0.99413,0.4209,1.13731,0.000535149,0.000535149,0.000535149
105,3229.3,0.77907,0.43177,1.00368,0.997,0.89286,0.95145,0.68119,0.9739,0.456,1.13641,0.000526524,0.000526524,0.000526524
106,3258.35,0.78183,0.44803,1.01219,0.99375,0.89373,0.91807,0.65541,0.95888,0.52364,1.13576,0.000517907,0.000517907,0.000517907
107,3287.58,0.75821,0.43773,1.00282,0.99446,0.91459,0.96368,0.6704,1.00914,0.46326,1.16929,0.000509301,0.000509301,0.000509301
108,3316.63,0.74036,0.42953,0.99953,0.98989,0.90476,0.95751,0.66945,0.99039,0.46466,1.17254,0.000500707,0.000500707,0.000500707
109,3345.61,0.73785,0.42583,0.99273,0.99384,0.88496,0.9108,0.64619,1.00528,0.51318,1.16017,0.000492129,0.000492129,0.000492129
110,3374.35,0.73432,0.42393,0.98666,0.99434,0.89286,0.89786,0.63839,1.00934,0.50989,1.18165,0.000483567,0.000483567,0.000483567
111,3403.69,0.73001,0.41443,0.99654,0.99352,0.89286,0.89993,0.62479,1.00797,0.51024,1.16981,0.000475025,0.000475025,0.000475025
112,3432.78,0.72626,0.41732,0.98737,0.99214,0.88748,0.90795,0.63112,0.98811,0.44941,1.15089,0.000466503,0.000466503,0.000466503
113,3462.1,0.74501,0.43733,1.00056,0.99568,0.89286,0.94739,0.68243,0.99765,0.45439,1.15206,0.000458006,0.000458006,0.000458006
114,3491.45,0.74719,0.42889,1,0.99415,0.87984,0.90812,0.64066,1.06912,0.51405,1.19108,0.000449533,0.000449533,0.000449533
115,3520.59,0.73706,0.41615,0.97243,0.99421,0.8937,0.90167,0.64827,0.99657,0.47411,1.16117,0.000441088,0.000441088,0.000441088
116,3549.81,0.73161,0.42141,0.98909,0.99015,0.89286,0.88833,0.63973,0.99785,0.48463,1.17001,0.000432673,0.000432673,0.000432673
117,3579.06,0.73992,0.42033,0.99774,0.99606,0.89165,0.90964,0.64087,1.01035,0.47053,1.15584,0.000424289,0.000424289,0.000424289
118,3608.67,0.74168,0.426,0.99378,0.99597,0.89286,0.9055,0.63745,0.99537,0.47441,1.15176,0.000415939,0.000415939,0.000415939
119,3637.7,0.7172,0.41363,0.99287,0.9919,0.89286,0.90041,0.61961,0.98392,0.47135,1.17028,0.000407625,0.000407625,0.000407625
120,3666.71,0.71622,0.41195,0.98709,0.98459,0.89251,0.921,0.65746,1.00027,0.49331,1.15724,0.000399349,0.000399349,0.000399349
121,3695.35,0.71131,0.40835,0.97205,0.99487,0.89199,0.90536,0.64818,0.99973,0.50922,1.16652,0.000391113,0.000391113,0.000391113
122,3724.45,0.70891,0.39953,0.97519,0.9961,0.89286,0.88833,0.60621,1.03109,0.49761,1.18753,0.000382918,0.000382918,0.000382918
123,3753.56,0.71889,0.41364,0.97848,0.99545,0.89286,0.89753,0.64288,0.97302,0.49715,1.15226,0.000374768,0.000374768,0.000374768
124,3782.82,0.70832,0.40506,0.97991,0.9943,0.88452,0.89976,0.64234,1.03297,0.49285,1.18733,0.000366663,0.000366663,0.000366663
125,3811.93,0.71315,0.40757,0.98031,0.99691,0.89286,0.88833,0.64055,0.98897,0.46817,1.15358,0.000358607,0.000358607,0.000358607
126,3841.12,0.69542,0.39292,0.96868,0.99568,0.89151,0.906,0.6413,0.97403,0.45288,1.15232,0.0003506,0.0003506,0.0003506
127,3870.36,0.69686,0.40307,0.97856,0.99153,0.89286,0.89859,0.65303,0.96692,0.50223,1.15814,0.000342646,0.000342646,0.000342646
128,3900.28,0.71112,0.40173,0.97786,0.99019,0.89286,0.90576,0.64894,0.96699,0.46413,1.16026,0.000334745,0.000334745,0.000334745
129,3929.56,0.71124,0.40524,0.97456,0.99438,0.89286,0.89786,0.65612,0.925,0.45939,1.12199,0.0003269,0.0003269,0.0003269
130,3959.04,0.70177,0.39997,0.98832,0.97861,0.90369,0.91962,0.6467,0.96172,0.46013,1.16803,0.000319113,0.000319113,0.000319113
131,3988.94,0.70033,0.3935,0.97367,0.99409,0.89286,0.91588,0.65648,0.95194,0.47219,1.15614,0.000311385,0.000311385,0.000311385
132,4018.67,0.69568,0.40089,0.97116,0.99082,0.89286,0.90536,0.65335,0.93643,0.49908,1.1534,0.000303719,0.000303719,0.000303719
133,4047.48,0.67692,0.39201,0.96053,0.99205,0.89286,0.90045,0.65054,0.9501,0.45083,1.16248,0.000296117,0.000296117,0.000296117
134,4076.59,0.67812,0.38484,0.97315,0.99118,0.90291,0.91121,0.64939,0.98562,0.46241,1.16695,0.00028858,0.00028858,0.00028858
135,4105.79,0.67049,0.38571,0.95659,0.99647,0.89286,0.89993,0.65808,0.96344,0.46933,1.15305,0.00028111,0.00028111,0.00028111
136,4134.87,0.67545,0.3945,0.95541,0.99608,0.89286,0.91567,0.64443,0.9666,0.45877,1.15613,0.00027371,0.00027371,0.00027371
137,4163.77,0.65991,0.37239,0.95353,0.97479,0.89182,0.9044,0.64554,0.96938,0.43955,1.17459,0.00026638,0.00026638,0.00026638
138,4192.88,0.66401,0.3807,0.96158,0.99064,0.88682,0.90378,0.6468,0.98857,0.47236,1.14831,0.000259123,0.000259123,0.000259123
139,4221.89,0.68336,0.38881,0.96757,0.98841,0.89286,0.91669,0.66566,0.94683,0.44352,1.1325,0.00025194,0.00025194,0.00025194
140,4250.92,0.68844,0.38863,0.96737,0.98744,0.90267,0.91726,0.65688,0.96359,0.41693,1.14799,0.000244834,0.000244834,0.000244834
141,4280.06,0.69104,0.39988,0.97483,0.994,0.89199,0.90702,0.6581,0.95421,0.44571,1.14183,0.000237805,0.000237805,0.000237805
142,4308.92,0.66283,0.38522,0.95863,0.99478,0.89216,0.91587,0.65676,0.93871,0.44368,1.15411,0.000230857,0.000230857,0.000230857
143,4337.97,0.66396,0.38225,0.95692,0.99775,0.89286,0.91956,0.64409,0.95179,0.4373,1.1502,0.00022399,0.00022399,0.00022399
144,4367.23,0.6581,0.37811,0.96014,0.99756,0.89286,0.91016,0.65409,0.94375,0.45684,1.14486,0.000217206,0.000217206,0.000217206
